Country Name,2019
Kazakhstan,117.91401672
Luxembourg,116.73840332
Georgia,113.86927795
Maldives,111.17501831
Seychelles,110.16200256
Moldova,108.49131012
Sweden,107.63118744
Brunei Darussalam,107.14736176
Oman,105.94859314
"Hong Kong SAR, China",105.70101166
Saudi Arabia,105.45758057
Malta,104.02211761
Russian Federation,103.98931885
Denmark,103.61701965
United States,103.40846252
Poland,103.30686951
Israel,103.21807861
Samoa,102.76120758
Liechtenstein,102.55682373
United Arab Emirates,101.90991974
Peru,101.63243866
Finland,101.24671936
Ireland,101.17485046
Iceland,101.0394516
Croatia,100.98005676
Estonia,100.91235352
Lithuania,100.41842651
Singapore,100.15981293
United Kingdom,99.953956604
Norway,99.692710876
Nepal,99.459098816
France,99.455688477
Gibraltar,98.494621277
Cyprus,98.098609924
"Macao SAR, China",98.05947876
Kyrgyz Republic,98.029129028
Sri Lanka,97.964019775
Austria,97.645469666
Spain,97.643692017
Italy,97.539108276
Serbia,97.030273438
Latvia,96.894538879
High income,96.885948181
"Korea, Rep.",96.704658508
Europe & Central Asia,96.400871277
Europe & Central Asia (IDA & IBRD countries),96.19052124
Slovenia,96.179969788
Ecuador,96.024200439
Post-demographic dividend,95.805480957
Europe & Central Asia (excluding high income),95.670501709
Euro area,95.667251587
Switzerland,95.619293213
European Union,95.581466675
Marshall Islands,95.339813232
Qatar,94.836982727
Mongolia,94.792297363
North America,94.767662048
Uzbekistan,94.709541321
San Marino,94.594589233
Uruguay,94.586723328
Chile,94.300498962
OECD members,94.136558533
Greece,93.945518494
Hungary,93.73558044399999
Portugal,93.603103638
Argentina,93.539199829
West Bank and Gaza,93.477027893
Bahrain,93.454116821
Albania,92.823989868
Belgium,92.528930664
Kuwait,92.429191589
Armenia,92.198051453
Czech Republic,91.967849731
St. Lucia,91.801979065
Timor-Leste,90.813522339
Mexico,90.68813324
Montenegro,89.944778442
Central Europe and the Baltics,89.607978821
East Asia & Pacific,89.36428833
Cuba,89.333511353
Late-demographic dividend,89.254646301
Mauritius,89.214050293
Turkey,88.789009094
East Asia & Pacific (excluding high income),88.61239624
East Asia & Pacific (IDA & IBRD countries),88.610710144
Romania,88.545326233
"Egypt, Arab Rep.",88.417831421
Upper middle income,87.157409668
Nauru,86.56716156
Bolivia,85.848136902
IBRD only,85.259613037
Bhutan,84.981002808
Malaysia,84.914772034
Jamaica,84.058547974
Dominican Republic,83.626533508
Pacific island small states,83.290031433
India,83.22341156
Slovak Republic,83.19304657
Philippines,83.087982178
Algeria,82.921447754
Caribbean small states,80.401260376
South Africa,80.372329712
Latin America & Caribbean,79.826782227
Latin America & Caribbean (excluding high income),79.683433533
Latin America & the Caribbean (IDA & IBRD countries),79.668357849
"Micronesia, Fed. Sts.",79.452049255
Middle income,79.272857666
South Asia,78.922203064
South Asia (IDA & IBRD),78.922203064
Early-demographic dividend,78.379051208
Ghana,78.176780701
Colombia,78.126228333
Middle East & North Africa,76.811012268
World,76.283096313
Lower middle income,75.072090149
Costa Rica,73.988212585
IDA & IBRD total,73.915779114
Low & middle income,73.847351074
Middle East & North Africa (excluding high income),73.535209656
Middle East & North Africa (IDA & IBRD countries),73.212089539
Sierra Leone,72.219161987
Cabo Verde,71.273551941
Solomon Islands,70.455940247
Small states,70.423286438
Eswatini,69.758338928
Belize,69.597068787
Zimbabwe,69.031921387
Arab World,69.017066956
Other small states,66.960151672
Lao PDR,65.21408844
Tuvalu,64.705879211
Morocco,64.407081604
Jordan,64.32485199
Gabon,59.267910004
Afghanistan,58.305850983
Cambodia,57.742610931
Guatemala,56.37297821
"Gambia, The",56.012340546
IDA blend,53.277240753
Cote d'Ivoire,52.584400177
IDA total,51.014118195
Togo,50.088970184
Djibouti,49.936531067
IDA only,49.7566185
Pakistan,48.968410492
Suriname,47.427230835
Least developed countries: UN classification,47.283538818
Vanuatu,46.954269409
Mauritania,45.94229126
Sub-Saharan Africa,43.713199615
Sub-Saharan Africa (IDA & IBRD countries),43.713199615
Sub-Saharan Africa (excluding high income),43.709590912
Honduras,43.604370117
Pre-demographic dividend,42.989830017
Rwanda,42.498680115
Burkina Faso,41.369850159
Heavily indebted poor countries (HIPC),40.525939941
Low income,39.208229065
Senegal,37.381099701
Madagascar,35.473079681
Tanzania,34.219261169
Burundi,29.77986908
Mozambique,24.23402977
Niger,17.657529831
